# timestamp	commit	deps	machine	target	label	n	median	p95	max	note
2026-09-12 14:28:22	6a2fb8d+	-	ADV-DEV-56627	yugioh	parse+check	5	3888.90	3982.26	3982.26	vor space-indentation umbau (ziel enthaelt space-konvertierte game-logic.jul)
2026-09-12 14:31:18	6a2fb8d+	-	ADV-DEV-56627	yugioh	parse+check	5	5070.34	6291.66	6291.66	space-indentation erkennung in indentParser (ziel enthaelt space-konvertierte game-logic.jul)
2026-09-12 14:34:45	6a2fb8d+	-	ADV-DEV-56627	yugioh	parse+check	5	4939.52	4996.13	4996.13	space-indentation erkennung in indentParser; A/B auf Tab-Kopie ohne echten Regress (4285 vs 4520ms alt) - Sprung im vorherigen Log kam vom space-konvertierten game-logic.jul, das jetzt vollstaendig statt abgebrochen geparst wird
2026-09-12 19:38:50	e4ac2d6+	-	ADV-DEV-56627	yugioh	parse+check	5	3733.65	3970.14	3970.14	Phase 2 abgeschlossen: assertNever validiert
2026-09-12 20:01:53	4dc8177+	-	ADV-DEV-56627	yugioh	parse+check	5	3985.65	4107.67	4107.67	Phase 3: Blatt-Typen durch builtins ersetzt
2026-09-12 20:06:48	c30feb6	-	ADV-DEV-56627	yugioh	parse+check	5	3774.58	4047.88	4047.88	Phase 3: Alle Inlines durch Konstruktoren/builtins ersetzt (verhaltensneutral)
2026-09-12 20:13:48	c30feb6+	-	ADV-DEV-56627	yugioh	parse+check	5	3726.04	4149.99	4149.99	Phase 4: resolvePlaceholders und dereferenceArgumentTypesNested zu traversePlaceholders vereint
2026-09-12 20:26:20	71ccc28+	-	ADV-DEV-56627	yugioh	parse+check	5	3867.61	4239.12	4239.12	Phase 3 fertig: isUnresolvedPlaceholderType ist Feldzugriff statt Traversierung
2026-09-12 20:34:32	71ccc28+	-	ADV-DEV-56627	yugioh	parse+check	5	3792.08	4048.26	4048.26	Phase 5: Praefix-Argument bleibt fuer den Rueckgabetyp symbolisch; getTypeError loest nestedReference auf
2026-09-12 21:14:50	1b9aaf6+	-	ADV-DEV-56627	yugioh	parse+check	5	3863.89	4092.23	4092.23	vor: Feldreferenzen im ReferenceIndex
2026-09-12 21:20:47	fe73419+	-	ADV-DEV-56627	yugioh	parse+check	5	3806.14	4127.50	4127.50	nach: Feldreferenzen im ReferenceIndex
2026-09-13 06:57:26	b985b0b+	-	ADV-DEV-56627	yugioh	parse+check	5	3862.21	3959.05	3959.05	Fix: Index 1 auf List(X) liefert keine Empty-Beimischung mehr
2026-09-13 07:18:34	1c92171	-	ADV-DEV-56627	yugioh	parse+check	5	3775.60	4298.49	4298.49	vor Fix: Argumentfehler-Position
2026-09-13 07:19:05	1c92171+	-	ADV-DEV-56627	yugioh	parse+check	5	3946.74	4278.53	4278.53	nach Fix: Argumentfehler-Position
2026-09-13 07:19:59	1c92171+	-	ADV-DEV-56627	yugioh	parse+check	5	3737.96	4210.72	4210.72	nach Fix: Argumentfehler-Position, ungeloeste Vorpruefung
2026-09-13 07:20:55	1c92171+	-	ADV-DEV-56627	yugioh	parse+check	5	3774.32	3990.59	3990.59	nach Fix: Argumentfehler-Position, Endstand
2026-09-13 07:34:23	b3c389c+	-	ADV-DEV-56627	yugioh	parse+check	5	4382.56	4838.39	4838.39	Argumentposition: ungeloeste Vorpruefung wie am Aufruf
2026-09-13 07:35:50	b3c389c+	-	ADV-DEV-56627	yugioh	parse+check	5	3770.70	4051.27	4051.27	Wiederholung derselben Fassung: +16% davor war Rauschen, Zaehler identisch
